Name,WAR,position_type,Salary
Blaze Alexander,1.0,Batter,
Jorge Barrosa,-0.4,Batter,820000.0
Corbin Carroll,6.5,Batter,13875000.0
Adrian Del Castillo,0.0,Batter,820000.0
Tristin English,-0.3,Batter,
Aramis Garcia,-0.1,Batter,
Randal Grichuk,-0.4,Batter,
Lourdes Gurriel Jr.,0.8,Batter,14000000.0
Garrett Hampson,-0.2,Batter,
Jose Herrera,-0.3,Batter,
Connor Kaiser,-0.2,Batter,
Jordan Lawlar,-0.5,Batter,820000.0
Tyler Locklear,-0.7,Batter,820000.0
Ketel Marte,4.6,Batter,15460000.0
James McCann,0.7,Batter,2750000.0
Jake McCarthy,-0.1,Batter,
Gabriel Moreno,2.7,Batter,2550000.0
Josh Naylor,3.1,Batter,
Ryne Nelson,0.1,Batter,3000000.0
Geraldo Perdomo,7.1,Batter,11250000.0
Pavin Smith,0.7,Batter,2250000.0
Eugenio Suárez,3.8,Batter,
Tim Tawa,0.0,Batter,820000.0
Alek Thomas,0.5,Batter,1962500.0
Ildemaro Vargas,0.2,Batter,
Philip Abner,0.1,Pitcher,820000.0
Kyle Backhus,0.0,Pitcher,
Jalen Beeks,0.2,Pitcher,
Jeff Brigham,0.0,Pitcher,
Juan Burgos,-0.3,Pitcher,820000.0
Corbin Burnes,0.7,Pitcher,32910744.0
José Castillo,-0.1,Pitcher,
Nabil Crismatt,0.1,Pitcher,
John Curtiss,0.0,Pitcher,
Anthony DeSclafani,-0.7,Pitcher,
Yilber Díaz,0.0,Pitcher,820000.0
J.P. Feyereisen,-0.2,Pitcher,
Zac Gallen,1.1,Pitcher,18700000.0
Brandyn Garcia,0.2,Pitcher,820000.0
Kevin Ginkel,0.2,Pitcher,2750000.0
Kendall Graveman,-0.2,Pitcher,
Garrett Hampson,0.0,Pitcher,
Tommy Henry,-0.2,Pitcher,
Jose Herrera,0.0,Pitcher,
Andrew Hoffmann,-0.2,Pitcher,
Drey Jameson,-0.1,Pitcher,820000.0
Bryce Jarvis,0.0,Pitcher,
Casey Kelly,0.0,Pitcher,
Merrill Kelly,3.1,Pitcher,20000000.0
Joe Mantiply,-0.5,Pitcher,
Justin Martinez,0.1,Pitcher,3600000.0
Scott McGough,-0.1,Pitcher,
Cristian Mena,0.1,Pitcher,820000.0
Shelby Miller,0.6,Pitcher,
Christian Montes De Oca,0.0,Pitcher,
Juan Morillo,0.3,Pitcher,820000.0
Kyle Nelson,-0.2,Pitcher,
Ryne Nelson,2.0,Pitcher,3000000.0
Brandon Pfaadt,1.7,Pitcher,9000000.0
Austin Pope,0.0,Pitcher,
A.J. Puk,0.0,Pitcher,3100000.0
Taylor Rashi,0.4,Pitcher,
Trevor Richards,0.1,Pitcher,
Eduardo Rodriguez,1.3,Pitcher,20000000.0
Andrew Saalfrank,0.5,Pitcher,820000.0
Tayler Scott,-0.6,Pitcher,
Ryan Thompson,0.2,Pitcher,3950000.0
Jake Woodford,0.0,Pitcher,
Michael Soroka,,,7500000.0
Nolan Arenado,,,5000000.0
Carlos Santana,,,2000000.0
Taylor Clarke,,,1550000.0
Paul Sewald,,,1500000.0
Blake Walston,,,820000.0
Kade Strowd,,,820000.0
Mitch Bratt,,,820000.0
Grant Holman,,,820000.0
Andrew Hoffman,,,820000.0
Dylan Ray,,,820000.0
Kohl Drake,,,820000.0
Jose Fernandez,,,820000.0
